experiment,horizon,mse,mae
Baseline,96,0.1945,0.2898
Baseline,192,0.2474,0.3411
Baseline,336,0.316,0.4016
Baseline,720,0.3787,0.4509
STD-Dispersion,96,0.197,0.2948
STD-Dispersion,192,0.2389,0.3313
STD-Dispersion,336,0.3299,0.4103
STD-Dispersion,720,0.3798,0.4467
STD-Full,96,0.2217,0.3101
STD-Full,192,0.2746,0.358
STD-Full,336,0.3117,0.3886
STD-Full,720,0.439,0.4915
STD-Seasonal,96,0.205,0.305
STD-Seasonal,192,0.2345,0.3273
STD-Seasonal,336,0.3228,0.4102
STD-Seasonal,720,0.4099,0.4675
STD-Trend,96,0.1933,0.2903
STD-Trend,192,0.2415,0.3353
STD-Trend,336,0.4075,0.4604
STD-Trend,720,0.4354,0.4815
